Q1,Subject number:
Q2,Age (in years):
Q3,I describe my gender as (please tick):
1,Male
2,Female
3,I describe my gender in a different way
4,I prefer not to say
Q4,Are you a student?
1,Yes
2,No
3,I prefer not to say
Q5,"If yes, what is your programme (e.g. Psychology BSc) and year of study (e.g. 1st, 2nd or 3rd)? "
Q6,"Below are a number of statements. Each statement asks you to think about your life over the last 2 weeks.  For each statement, select how appropriately it describes your life right now. Select “Completely true” if the statement describes you perfectly, “Completely untrue” if the statement does not describe you at all over the last 2 weeks, and use the answers in between accordingly. "
Q6_1,I feel sad or upset when I hear bad news.
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_2,I start conversations with random people.
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_3,I enjoy doing things with people I have just met.
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_4,I suggest activities for me and my friends to do.
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_5,I make decisions firmly and without hesitation.
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_6,"After making a decision, I will wonder if I have made the wrong choice."
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_7,"Based on the last two weeks, I would say I care deeply about how my loved ones think of me."
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_8,I go out with friends on a weekly basis.
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_9,"When I decide to do something, I am able to make an effort easily."
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_10,I don't like to laze around.
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_11,"I get things done when they need to be done, without requiring reminders from others."
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_12,"When I decide to do something, I am motivated to see it through to the end."
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_13,I feel awful if I say something insensitive.
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_14,I start conversations without being prompted.
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_15,"When I have something I need to do, I do it straightaway so it is out of the way."
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_16,I feel bad when I hear an acquaintance has an accident or illness.
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_17,I enjoy choosing what to do from a range of activities.
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
Q6_18,"If I realise I have been unpleasant to someone, I will feel terribly guilty afterwards."
1,Completely UNTRUE
2,Mostly untrue
3,Neither true nor untrue
4,Quite true
5,Completely TRUE
